question,answer,correct
89 * 91,8099,True
74 * 97,7178,True
28 * 78,2184,True
93 * 54,5022,True
75 * 73,5475,True
55 * 41,2255,True
17 * 38,646,True
17 * 26,442,True
71 * 18,1278,True
66 * 30,1980,True
89 * 35,3115,True
86 * 90,7740,True
71 * 43,3053,True
81 * 50,4050,True
50 * 87,4350,True
37 * 78,2886,True
94 * 15,1410,True
97 * 46,4462,True
53 * 27,1431,True
46 * 72,3312,True
25 * 75,1875,True
28 * 55,1540,True
15 * 42,630,True
92 * 52,4784,True
71 * 22,1562,True
60 * 90,5400,True
63 * 51,3213,True
92 * 98,9016,True
94 * 80,7520,True
12 * 44,528,True
63 * 61,3843,True
44 * 35,1540,True
35 * 51,1785,True
22 * 93,2046,True
15 * 25,375,True
25 * 39,975,True
74 * 69,5106,True
82 * 54,4428,True
78 * 17,1326,True
84 * 16,1344,True
56 * 48,2688,True
82 * 33,2706,True
77 * 39,3003,True
80 * 42,3360,True
44 * 56,2464,True
20 * 95,1900,True
31 * 50,1550,True
38 * 75,2850,True
16 * 21,336,True
82 * 33,2706,True
19 * 59,1121,True
75 * 25,1875,True
46 * 42,1932,True
73 * 72,5256,True
58 * 31,1798,True
91 * 60,5460,True
76 * 16,1216,True
61 * 87,5307,True
81 * 97,7857,True
64 * 41,2624,True
75 * 72,5400,True
78 * 81,6318,True
12 * 46,552,True
19 * 66,1254,True
40 * 94,3760,True
41 * 20,820,True
53 * 52,2756,True
77 * 74,5698,True
44 * 88,3872,True
31 * 43,1333,True
54 * 89,4806,True
84 * 77,6468,True
64 * 16,1024,True
92 * 34,3128,True
19 * 23,437,True
20 * 93,1860,True
65 * 18,1170,True
94 * 65,6110,True
43 * 33,1419,True
52 * 47,2444,True
84 * 61,5124,True
41 * 20,820,True
90 * 10,900,True
73 * 30,2190,True
44 * 82,3608,True
88 * 32,2816,True
41 * 68,2788,True
22 * 71,1562,True
53 * 44,2332,True
11 * 27,297,True
97 * 26,2522,True
64 * 78,4992,True
53 * 61,3233,True
14 * 44,616,True
99 * 67,6633,True
56 * 71,3976,True
17 * 19,323,True
98 * 98,9604,True
53 * 77,4081,True
45 * 47,2115,True
48 * 81,3888,True
52 * 40,2080,True
75 * 39,2925,True
59 * 75,4425,True
13 * 34,442,True
27 * 90,2430,True
64 * 59,3776,True
14 * 63,882,True
41 * 68,2788,True
48 * 23,1104,True
35 * 86,3010,True
96 * 39,3744,True
97 * 63,6111,True
61 * 11,671,True
35 * 54,1890,True
98 * 99,9702,True
72 * 64,4608,True
72 * 48,3456,True
12 * 97,1164,True
63 * 77,4851,True
33 * 72,2376,True
78 * 73,5694,True
23 * 16,368,True
62 * 16,992,True
42 * 69,2898,True
51 * 76,3876,True
65 * 66,4290,True
59 * 74,4366,True
87 * 38,3306,True
93 * 13,1209,True
45 * 16,720,True
17 * 83,1411,True
84 * 28,2352,True
71 * 40,2840,True
10 * 14,140,True
68 * 83,5644,True
89 * 30,2670,True
25 * 29,725,True
78 * 85,6630,True
73 * 47,3431,True
92 * 32,2944,True
66 * 48,3168,True
52 * 65,3380,True
44 * 97,4268,True
78 * 11,858,True
95 * 49,4655,True
81 * 25,2025,True
43 * 56,2408,True
73 * 33,2409,True
65 * 68,4420,True
53 * 13,689,True
10 * 25,250,True
37 * 12,444,True
47 * 21,987,True
98 * 98,9604,True
65 * 76,4940,True
20 * 61,1220,True
81 * 61,4941,True
50 * 76,3800,True
97 * 26,2522,True
86 * 16,1376,True
85 * 41,3485,True
11 * 83,913,True
90 * 39,3510,True
51 * 88,4488,True
54 * 11,594,True
23 * 37,851,True
77 * 84,6468,True
92 * 82,7544,True
12 * 34,408,True
48 * 86,4128,True
72 * 40,2880,True
19 * 71,1349,True
94 * 63,5922,True
59 * 29,1711,True
60 * 13,780,True
15 * 36,540,True
21 * 39,819,True
65 * 98,6370,True
65 * 33,2145,True
78 * 97,7566,True
28 * 11,308,True
76 * 26,1976,True
73 * 33,2409,True
22 * 84,1848,True
40 * 76,3040,True
46 * 11,506,True
32 * 72,2304,True
84 * 82,6888,True
53 * 27,1431,True
78 * 60,4680,True
54 * 29,1566,True
49 * 49,2401,True
12 * 90,1080,True
58 * 58,3364,True
46 * 81,3726,True
94 * 54,5076,True
18 * 51,918,True
48 * 50,2400,True
70 * 38,2660,True
84 * 75,6300,True
46 * 59,2714,True
38 * 25,950,True
67 * 65,4355,True
36 * 34,1224,True
60 * 71,4260,True
52 * 72,3744,True
32 * 37,1184,True
72 * 45,3240,True
89 * 63,5607,True
51 * 31,1581,True
68 * 92,6256,True
12 * 59,708,True
75 * 36,2700,True
35 * 80,2800,True
84 * 69,5796,True
63 * 78,4914,True
32 * 91,2912,True
58 * 52,3016,True
47 * 40,1880,True
44 * 64,2816,True
49 * 20,980,True
88 * 19,1672,True
48 * 99,4752,True
79 * 38,3002,True
84 * 78,6552,True
34 * 25,850,True
25 * 71,1775,True
91 * 59,5369,True
90 * 26,2340,True
17 * 91,1547,True
36 * 81,2916,True
92 * 92,8464,True
95 * 90,8550,True
93 * 26,2418,True
56 * 44,2464,True
95 * 41,3895,True
34 * 83,2822,True
46 * 29,1334,True
82 * 45,3690,True
38 * 29,1102,True
24 * 48,1152,True
88 * 19,1672,True
96 * 17,1632,True
12 * 48,576,True
11 * 55,605,True
44 * 86,3784,True
59 * 40,2360,True
43 * 84,3612,True
14 * 65,910,True
95 * 64,6080,True
80 * 38,3040,True
48 * 91,4368,True
53 * 86,4558,True
62 * 37,2294,True
99 * 72,7128,True
25 * 77,1925,True
68 * 75,5100,True
55 * 13,715,True
66 * 39,2574,True
89 * 59,5251,True
22 * 84,1848,True
25 * 35,875,True
69 * 60,4140,True
26 * 54,1404,True
46 * 43,1978,True
70 * 49,3430,True
71 * 69,4899,True
59 * 44,2596,True
88 * 85,7480,True
25 * 81,2025,True
16 * 14,224,True
63 * 95,5985,True
38 * 15,570,True
65 * 27,1755,True
65 * 59,3835,True
26 * 30,780,True
91 * 70,6370,True
39 * 64,2496,True
58 * 19,1102,True
84 * 70,5880,True
72 * 56,4032,True
14 * 35,490,True
90 * 62,5580,True
49 * 31,1519,True
56 * 43,2408,True
26 * 64,1664,True
42 * 73,3066,True
17 * 68,1156,True
32 * 13,416,True
12 * 56,672,True
89 * 82,7298,True
25 * 75,1875,True
41 * 69,2829,True
58 * 72,4176,True
40 * 65,2600,True
28 * 67,1876,True
79 * 95,7505,True
20 * 58,1160,True
60 * 58,3480,True
63 * 37,2331,True
65 * 86,5590,True
29 * 78,2262,True
91 * 64,5824,True
10 * 46,460,True
91 * 57,5187,True
19 * 35,665,True
54 * 53,2862,True
28 * 19,532,True
45 * 28,1260,True
30 * 53,1590,True
96 * 97,9312,True
56 * 13,728,True
74 * 16,1184,True
72 * 25,1800,True
41 * 72,2952,True
85 * 59,5015,True
66 * 79,5214,True
47 * 80,3760,True
97 * 82,7954,True
78 * 24,1872,True
80 * 21,1680,True
68 * 95,6460,True
70 * 66,4620,True
71 * 80,5680,True
27 * 44,1188,True
82 * 90,7380,True
98 * 77,7546,True
70 * 67,4690,True
76 * 81,6156,True
43 * 42,1806,True
98 * 97,9506,True
15 * 45,675,True
91 * 72,6552,True
68 * 40,2720,True
34 * 87,2958,True
96 * 60,5760,True
30 * 39,1170,True
36 * 35,1260,True
77 * 13,1001,True
70 * 73,5110,True
27 * 78,2106,True
23 * 20,460,True
68 * 27,1836,True
76 * 30,2280,True
36 * 92,3312,True
32 * 65,2080,True
91 * 76,6916,True
87 * 44,3828,True
63 * 88,5544,True
86 * 25,2150,True
59 * 25,1475,True
10 * 42,420,True
16 * 74,1184,True
36 * 49,1764,True
41 * 90,3690,True
90 * 16,1440,True
89 * 57,5073,True
95 * 41,3895,True
50 * 25,1250,True
96 * 84,8064,True
66 * 23,1518,True
59 * 27,1593,True
77 * 32,2464,True
99 * 97,9603,True
37 * 86,3182,True
15 * 23,345,True
99 * 95,9405,True
79 * 20,1580,True
74 * 23,1702,True
45 * 10,450,True
75 * 15,1125,True
41 * 91,3731,True
92 * 30,2760,True
98 * 35,3430,True
71 * 17,1207,True
77 * 44,3388,True
92 * 52,4784,True
69 * 81,5589,True
81 * 74,5994,True
52 * 72,3744,True
94 * 54,5076,True
17 * 83,1411,True
59 * 48,2832,True
41 * 13,533,True
85 * 72,6120,True
72 * 18,1296,True
68 * 17,1156,True
33 * 87,2871,True
15 * 79,1185,True
43 * 95,4085,True
33 * 16,528,True
51 * 42,2142,True
62 * 51,3162,True
18 * 81,1458,True
48 * 36,1728,True
90 * 43,3870,True
80 * 96,7680,True
85 * 52,4420,True
48 * 26,1248,True
20 * 48,960,True
31 * 99,3069,True
14 * 31,434,True
45 * 11,495,True
98 * 71,6958,True
59 * 20,1180,True
19 * 92,1748,True
87 * 67,5829,True
77 * 57,4389,True
40 * 62,2480,True
27 * 43,1161,True
41 * 36,1476,True
31 * 34,1054,True
25 * 60,1500,True
47 * 40,1880,True
79 * 85,6715,True
75 * 90,6750,True
36 * 80,2880,True
18 * 58,1044,True
56 * 12,672,True
90 * 94,8460,True
94 * 14,1316,True
46 * 38,1748,True
87 * 80,6960,True
15 * 42,630,True
22 * 93,2046,True
12 * 50,600,True
42 * 77,3234,True
60 * 26,1560,True
44 * 77,3388,True
64 * 69,4416,True
89 * 96,8544,True
49 * 87,4263,True
76 * 43,3268,True
75 * 85,6375,True
56 * 26,1456,True
51 * 82,4182,True
36 * 60,2160,True
49 * 34,1666,True
36 * 11,396,True
22 * 53,1166,True
68 * 77,5236,True
51 * 36,1836,True
69 * 46,3174,True
95 * 19,1805,True
55 * 72,3960,True
94 * 62,5828,True
17 * 33,561,True
91 * 18,1638,True
99 * 98,9702,True
17 * 92,1564,True
14 * 66,924,True
31 * 47,1457,True
74 * 72,5328,True
23 * 72,1656,True
61 * 10,610,True
77 * 94,7238,True
24 * 67,1608,True
27 * 57,1539,True
98 * 99,9702,True
58 * 32,1856,True
76 * 60,4560,True
99 * 57,5643,True
54 * 33,1782,True
94 * 18,1692,True
99 * 70,6930,True
85 * 83,7055,True
95 * 16,1520,True
80 * 77,6160,True
24 * 92,2208,True
94 * 86,8084,True
97 * 84,8148,True
67 * 61,4087,True
55 * 96,5280,True
58 * 29,1682,True
90 * 36,3240,True
70 * 90,6300,True
63 * 28,1764,True
38 * 21,798,True
77 * 29,2233,True
12 * 32,384,True
66 * 97,6402,True
20 * 94,1880,True
37 * 21,777,True
33 * 33,1089,True
44 * 50,2200,True
35 * 72,2520,True
34 * 62,2108,True
70 * 39,2730,True
56 * 45,2520,True
43 * 98,4214,True
51 * 66,3366,True
50 * 62,3100,True
42 * 39,1638,True
98 * 96,9408,True
58 * 22,1276,True
63 * 93,5859,True
78 * 14,1092,True
80 * 59,4720,True
55 * 81,4455,True
16 * 44,704,True
41 * 90,3690,True
54 * 70,3780,True
32 * 28,896,True
56 * 92,5152,True
58 * 76,4408,True
54 * 44,2376,True
32 * 95,3040,True
43 * 90,3870,True
12 * 63,756,True
92 * 33,3036,True
56 * 84,4704,True
52 * 73,3796,True
68 * 62,4216,True
46 * 32,1472,True
23 * 39,897,True
40 * 25,1000,True
79 * 60,4740,True
94 * 47,4418,True
72 * 89,6408,True
95 * 35,3325,True
26 * 74,1924,True
90 * 62,5580,True
72 * 12,864,True
50 * 64,3200,True
76 * 76,5776,True
84 * 23,1932,True
61 * 37,2257,True
96 * 94,9024,True
48 * 98,4704,True
58 * 17,986,True
14 * 90,1260,True
59 * 39,2301,True
21 * 67,1407,True
93 * 59,5487,True
33 * 31,1023,True
61 * 55,3355,True
51 * 44,2244,True
98 * 65,6370,True
34 * 16,544,True
55 * 77,4235,True
16 * 31,496,True
42 * 24,1008,True
91 * 58,5278,True
62 * 80,4960,True
94 * 21,1974,True
78 * 69,5382,True
68 * 38,2584,True
69 * 25,1725,True
60 * 25,1500,True
98 * 43,4214,True
98 * 12,1176,True
63 * 21,1323,True
58 * 31,1798,True
53 * 48,2544,True
75 * 70,5250,True
72 * 67,4824,True
25 * 24,600,True
34 * 21,714,True
44 * 29,1276,True
36 * 74,2664,True
22 * 48,1056,True
62 * 17,1054,True
