question,answer,correct
89 - 91,-2,True
74 - 97,-23,True
28 - 78,-50,True
93 - 54,39,True
75 - 73,2,True
55 - 41,14,True
17 - 38,-21,True
17 - 26,-9,True
71 - 18,53,True
66 - 30,36,True
89 - 35,54,True
86 - 90,-4,True
71 - 43,28,True
81 - 50,31,True
50 - 87,-37,True
37 - 78,-41,True
94 - 15,79,True
97 - 46,51,True
53 - 27,26,True
46 - 72,-26,True
25 - 75,-50,True
28 - 55,-27,True
15 - 42,-27,True
92 - 52,40,True
71 - 22,49,True
60 - 90,-30,True
63 - 51,12,True
92 - 98,-6,True
94 - 80,14,True
12 - 44,-32,True
63 - 61,2,True
44 - 35,9,True
35 - 51,-16,True
22 - 93,-71,True
15 - 25,-10,True
25 - 39,-14,True
74 - 69,5,True
82 - 54,28,True
78 - 17,61,True
84 - 16,68,True
56 - 48,8,True
82 - 33,49,True
77 - 39,38,True
80 - 42,38,True
44 - 56,-12,True
20 - 95,-75,True
31 - 50,-19,True
38 - 75,-37,True
16 - 21,-5,True
82 - 33,49,True
19 - 59,-40,True
75 - 25,50,True
46 - 42,4,True
73 - 72,1,True
58 - 31,27,True
91 - 60,31,True
76 - 16,60,True
61 - 87,-26,True
81 - 97,-16,True
64 - 41,23,True
75 - 72,3,True
78 - 81,-3,True
12 - 46,-34,True
19 - 66,-47,True
40 - 94,-54,True
41 - 20,21,True
53 - 52,1,True
77 - 74,3,True
44 - 88,-44,True
31 - 43,-12,True
54 - 89,-35,True
84 - 77,7,True
64 - 16,48,True
92 - 34,58,True
19 - 23,-4,True
20 - 93,-73,True
65 - 18,47,True
94 - 65,29,True
43 - 33,10,True
52 - 47,5,True
84 - 61,23,True
41 - 20,21,True
90 - 10,80,True
73 - 30,43,True
44 - 82,-38,True
88 - 32,56,True
41 - 68,-27,True
22 - 71,-49,True
53 - 44,9,True
11 - 27,-16,True
97 - 26,71,True
64 - 78,-14,True
53 - 61,-8,True
14 - 44,-30,True
99 - 67,32,True
56 - 71,-15,True
17 - 19,-2,True
98 - 98,0,True
53 - 77,-24,True
45 - 47,-2,True
48 - 81,-33,True
52 - 40,12,True
75 - 39,36,True
59 - 75,-16,True
13 - 34,-21,True
27 - 90,-63,True
64 - 59,5,True
14 - 63,-49,True
41 - 68,-27,True
48 - 23,25,True
35 - 86,-51,True
96 - 39,57,True
97 - 63,34,True
61 - 11,50,True
35 - 54,-19,True
98 - 99,-1,True
72 - 64,8,True
72 - 48,24,True
12 - 97,-85,True
63 - 77,-14,True
33 - 72,-39,True
78 - 73,5,True
23 - 16,7,True
62 - 16,46,True
42 - 69,-27,True
51 - 76,-25,True
65 - 66,-1,True
59 - 74,-15,True
87 - 38,49,True
93 - 13,80,True
45 - 16,29,True
17 - 83,-66,True
84 - 28,56,True
71 - 40,31,True
10 - 14,-4,True
68 - 83,-15,True
89 - 30,59,True
25 - 29,-4,True
78 - 85,-7,True
73 - 47,26,True
92 - 32,60,True
66 - 48,18,True
52 - 65,-13,True
44 - 97,-53,True
78 - 11,67,True
95 - 49,46,True
81 - 25,56,True
43 - 56,-13,True
73 - 33,40,True
65 - 68,-3,True
53 - 13,40,True
