question,answer,correct
8769 - 8845,-76,True
6125 - 4071,2054,True
8824 - 6289,2535,True
5659 - 3246,2413,True
2431 - 7062,-4631,True
9072 - 7329,1743,True
4956 - 1976,2980,True
2241 - 3136,-895,True
7708 - 6955,753,True
7931 - 4791,3140,True
7114 - 4923,2191,True
1321 - 7530,-6209,True
4924 - 2043,2881,True
8810 - 1495,7315,True
5776 - 5557,219,True
2111 - 5573,-3462,True
1929 - 3403,-1474,True
3100 - 7179,-4079,True
5395 - 7560,-2165,True
8256 - 2306,5950,True
1586 - 2532,-946,True
3488 - 8690,-5202,True
6563 - 3299,3264,True
6204 - 7920,-1716,True
7629 - 9391,-1762,True
5313 - 8992,-3679,True
6311 - 2661,3650,True
2646 - 4566,-1920,True
1315 - 8983,-7668,True
8753 - 4227,4526,True
4081 - 9341,-5260,True
5736 - 7135,-1399,True
2055 - 4401,-2346,True
9350 - 9419,-69,True
4312 - 2784,1528,True
3423 - 9585,-6162,True
8555 - 9079,-524,True
7463 - 6665,798,True
5970 - 1935,4035,True
8859 - 5660,3199,True
7788 - 9384,-1596,True
9610 - 5457,4153,True
6967 - 8063,-1096,True
4780 - 7458,-2678,True
3833 - 8888,-5055,True
3742 - 9049,-5307,True
4113 - 2899,1214,True
9018 - 8373,645,True
6655 - 9613,-2958,True
8275 - 3320,4955,True
2293 - 2810,-517,True
9794 - 2981,6813,True
5446 - 5850,-404,True
1792 - 7788,-5996,True
7555 - 7946,-391,True
5465 - 4600,865,True
3947 - 6540,-2593,True
3098 - 2858,240,True
3325 - 7935,-4610,True
4947 - 4525,422,True
2989 - 4885,-1896,True
4516 - 9455,-4939,True
7336 - 2085,5251,True
5876 - 1662,4214,True
7037 - 9435,-2398,True
3256 - 2023,1233,True
2446 - 1895,551,True
3652 - 6907,-3255,True
8811 - 9660,-849,True
1471 - 7110,-5639,True
6881 - 5881,1000,True
1546 - 7171,-5625,True
4024 - 6276,-2252,True
6974 - 6364,610,True
5350 - 5994,-644,True
6943 - 5425,1518,True
6483 - 6966,-483,True
5940 - 1605,4335,True
9036 - 1698,7338,True
6788 - 4507,2281,True
4205 - 4578,-373,True
1062 - 3949,-2887,True
2769 - 5003,-2234,True
1425 - 8420,-6995,True
3200 - 8433,-5233,True
5593 - 8510,-2917,True
4741 - 6889,-2148,True
3299 - 8933,-5634,True
6747 - 5095,1652,True
1196 - 3035,-1839,True
5104 - 3102,2002,True
4090 - 9984,-5894,True
5370 - 1451,3919,True
1575 - 9900,-8325,True
6275 - 2233,4042,True
5144 - 7891,-2747,True
3089 - 9838,-6749,True
5716 - 7745,-2029,True
5129 - 3548,1581,True
9620 - 8266,1354,True
2502 - 4792,-2290,True
4732 - 4018,714,True
4327 - 6348,-2021,True
2446 - 1647,799,True
9548 - 1838,7710,True
8502 - 4779,3723,True
3639 - 1695,1944,True
8186 - 5826,2360,True
7290 - 8463,-1173,True
3752 - 6258,-2506,True
6971 - 6554,417,True
2039 - 6273,-4234,True
5437 - 8720,-3283,True
6315 - 8594,-2279,True
2306 - 6502,-4196,True
2336 - 4239,-1903,True
3523 - 7714,-4191,True
2503 - 8243,-5740,True
2269 - 1495,774,True
4178 - 7714,-3536,True
2329 - 2309,20,True
9636 - 5190,4446,True
7806 - 4919,2887,True
2634 - 4707,-2073,True
6835 - 2748,4087,True
2405 - 8990,-6585,True
2258 - 3846,-1588,True
1846 - 6018,-4172,True
9341 - 2662,6679,True
4863 - 8129,-3266,True
5834 - 1044,4790,True
6444 - 1485,4959,True
3496 - 6410,-2914,True
1743 - 7527,-5784,True
2967 - 6504,-3537,True
6513 - 2531,3982,True
4403 - 2628,1775,True
7629 - 9838,-2209,True
7274 - 1171,6103,True
8249 - 2953,5296,True
5682 - 6985,-1303,True
5281 - 8398,-3117,True
4685 - 4889,-204,True
5224 - 5455,-231,True
8754 - 1229,7525,True
1287 - 5796,-4509,True
8673 - 3407,5266,True
5196 - 5795,-599,True
9090 - 4704,4386,True
6110 - 5405,705,True
2504 - 6707,-4203,True
6799 - 9777,-2978,True
3639 - 4398,-759,True
9657 - 4806,4851,True
8633 - 5874,2759,True
8144 - 8688,-544,True
1461 - 6674,-5213,True
9944 - 3346,6598,True
4499 - 8192,-3693,True
2189 - 9287,-7098,True
7181 - 9359,-2178,True
2656 - 7054,-4398,True
1314 - 5239,-3925,True
7684 - 3457,4227,True
6988 - 7568,-580,True
2327 - 8951,-6624,True
6919 - 6562,357,True
3978 - 9262,-5284,True
4137 - 9432,-5295,True
1943 - 8040,-6097,True
5056 - 2494,2562,True
1140 - 2320,-1180,True
2441 - 3029,-588,True
3538 - 9773,-6235,True
3754 - 5211,-1457,True
1990 - 6579,-4589,True
2985 - 1106,1879,True
1562 - 1972,-410,True
8623 - 2697,5926,True
9913 - 4070,5843,True
7897 - 1752,6145,True
1300 - 2950,-1650,True
6359 - 6538,-179,True
1590 - 8974,-7384,True
6150 - 8699,-2549,True
5236 - 6094,-858,True
8919 - 9546,-627,True
